,PC1,PC2
A0040714X0G8QUCER7Q,0.0,0.0
A00408825PVJW7GFLEGU,0.0,0.0
A00445086HQKHWW2FUPT,0.0,0.0
A0045558RLEOANWJ9H6A,0.0,0.0
A0045750NMY09KVSTE01,0.0,0.0
A00466705G92B8X5Z5ZX,0.0,0.0
A0048168OBFNFN7WW8XC,0.0,0.0
A0048808UV2FIJFK29AR,0.0,0.0
A0052460YGSAZ1WAUZ2D,0.0,0.0
A0052602MJUOYU986YN7,0.0,0.0
A0053052KONP2DKBEIS,0.0,0.0
A0053783WS05FZ73CBKH,0.0,0.0
A0056274FAHZQC4N2ZN8,0.0,0.0
A0056842QA9YQDUH0IOO,0.0,0.0
A0056908KR32CD5U3O0F,0.0,0.0
A0057670FKKO20E9X6XL,0.0,0.0
A00581548J77WRL1KTK2,0.0,0.0
A0059356JIEDE0TYF9HV,0.0,0.0
A0060534B3X44CHSCIPF,0.0,0.0
A0060692L5027B425N1B,0.0,0.0
A0063364JA03BQZZ3KTF,0.0,0.0
A0064174TU5Q70UXX2M9,0.0,0.0
A0065811S4ANKB4TYHII,0.0,0.0
A0068533X8Y5TYUJWWIC,0.0,0.0
A0068651WSPPZOVU6U1Z,0.0,0.0
A0069725YPJFFAEMHD9U,0.0,0.0
A00702632VKNR6FYVNX4,0.0,0.0
A0070287EH1P1FHWO3GW,0.0,0.0
A0071579ZEM74CBJAXU9,0.0,0.0
A0071783JCX6M9Z302CK,0.0,0.0
A0071795UJ0QVUUXF3YK,0.0,0.0
A0072041HVZ3465DXUOR,0.0,0.0
A0072319W2B8TUXQHHD1,0.0,0.0
A0072763KHZINKL1WAEI,0.0,0.0
A0073451U9ASZ6EOD0ZF,0.0,0.0
A0074327B7QLWYD8R3D0,0.0,0.0
A0076403KILV5IGRQ44A,0.0,0.0
A0077967ET1ZBGGWI7KX,0.0,0.0
A00784833LQ848ORJT3D,0.0,0.0
A0079319OS6E4PV6A0UN,0.0,0.0
A0079707CNRIIP8W7M5Y,0.0,0.0
A00800615OVHYSOGUA70,0.0,0.0
A00807096UZRUNLCH6MA,0.0,0.0
A0080831FSKRUXT1EI4O,0.0,0.0
A0081289HG0BXFQJQUWW,0.0,0.0
A0081575F2F9XQSSIYA3,0.0,0.0
A0081967KTVJ5A9KBWMF,0.0,0.0
A0082877YD8PU9RLQH03,0.0,0.0
A0084095I44XW7DFH0TP,0.0,0.0
A0084151UKS19BB39EKD,0.0,0.0
A00849873KP522T77IL8,0.0,0.0
A0085205GPGSFJM0ALF3,0.0,0.0
A00855333AUK2LO6IL0T,0.0,0.0
A0086201G57OY58MG97W,0.0,0.0
A0087695JBDRBSSG333P,0.0,0.0
A0087863MD6APVQWTRU6,0.0,0.0
A00881639PCVOMTWLIC4,0.0,0.0
A0088687L03UFXBPGUKX,0.0,0.0
A0090505I1HQP4TG0QXY,0.0,0.0
A0092711N4WNGO5KUO6W,0.0,0.0
A0093751ZA04WDR6FGNX,0.0,0.0
A0094851ITMCHYFPZA4R,0.0,0.0
A0095005XSLKUKNDP76I,0.0,0.0
A0095257KRQCLUN3K1GI,0.0,0.0
A0097681EFG3PJVFTXK5,0.0,0.0
A0098677SNWYKXZKBJB0,0.0,0.0
A0099065FJWOU7FUFTXO,0.0,0.0
A0099375TMDU2B2TSUJU,0.0,0.0
A01008638Q2KKEWA1SAJ,0.0,0.0
A0100967C4AO0DASVNQ,0.0,0.0
A0101015GK7GZEUOGNXY,0.0,0.0
A01019214ESE5SLZO40J,0.0,0.0
A0102309I8DFET92UF1M,0.0,0.0
A0102699VE83SKAWPUA4,0.0,0.0
A0103059CEUIUPUIB8RP,0.0,0.0
A01033511NEJ2C1XT71J,0.0,0.0
A0103997B5H8J44DBU7K,0.0,0.0
A010521991XPPQJW4V8Z,0.0,0.0
A0107229P6G90UKRJYQW,0.0,0.0
A0111677U4I5G2WF7TVZ,0.0,0.0
A011260382SXFK35VL3A,0.0,0.0
A0113203OOVVQP9QCEHT,0.0,0.0
A0113251EZSSV31KNMY7,0.0,0.0
A0113687U6BI6AIBOQDK,0.0,0.0
A0114753GBUUVZ75QJBC,0.0,0.0
A0117979MJSL98SA2JXI,0.0,0.0
A0118075KZX1KJKSZGEE,0.0,0.0
A0118844XYT2PP7ICCN1,0.0,0.0
A0123039S3EWL909O8SC,0.0,0.0
A0123169UPRZMBZ3KRR4,0.0,0.0
A01241534EPLP5O3KOP5,0.0,0.0
A01254892EIN2NF8AUS5,0.0,0.0
A0125673692EQSMXVIIZ,0.0,0.0
A0128697E8EO1KVQXD20,0.0,0.0
A0128787FIE631S4O7BN,0.0,0.0
A0129079AMSQLRH7CUJ1,0.0,0.0
A0130373US3R4HVCSPH7,0.0,0.0
A0130677X435MOJESPOH,0.0,0.0
A0131053XWK47EVB3B3R,0.0,0.0
A0131690IIOCBXZQZUMN,0.0,0.0
A0132270HDK4KH7NPTF1,0.0,0.0
A0135824JBPU8ADCLM59,0.0,0.0
A0136546ZEPOT59K7I7V,0.0,0.0
A0139260F67BOYWH7KA4,0.0,0.0
A0139288TEE6WV1DPN92,0.0,0.0
A0140712R69E7ZY58CEW,0.0,0.0
A0141992U9G0AOV3X6V7,0.0,0.0
A0142488EHUDHMYHS6DF,0.0,0.0
A0142788P22NK29P2U8Q,0.0,0.0
A01432283CEF6M8Z4EW5,0.0,0.0
A01433701FZ0LF5G2RUL,0.0,0.0
A0145698H8AAYMRXLBD8,0.0,0.0
A0146440VS25LT8V96SZ,0.0,0.0
A01465261TUIPM019SX7,0.0,0.0
A0146582BY8LYXUDAP52,0.0,0.0
A01479262G308L0NIDBB,0.0,0.0
A0148928KTNQ14EJ22AC,0.0,0.0
A0149220O8WD7KG3O5XR,0.0,0.0
A0151682G81KJ10ICVLO,0.0,0.0
A0153306LHJ5B70SHGK2,0.0,0.0
A0153524HC25D09HXMND,0.0,0.0
A01543604MUCDDOFH73H,0.0,0.0
A0156038BA2FABM6OVXN,0.0,0.0
A0156342EYJNIE7DP9KM,0.0,0.0
A0157138FBEC05BS7CVV,0.0,0.0
A0160164MLNICC8UTV5Z,0.0,0.0
A0160612BLIWRHROHLLE,0.0,0.0
A0163982I33BFLFLDW0T,0.0,0.0
A0164700Z3G0QFN8AX77,0.0,0.0
A0165696DIHPSR7UCP84,0.0,0.0
A0166602L2HCUXPI2QP7,0.0,0.0
A0167350EHHSWYXSR4IJ,0.0,0.0
A01688442XEJORU8TD6K,0.0,0.0
A0169822T8YDR1VMKDY6,0.0,0.0
A0173254W9U0MHI8DMR,0.0,0.0
A0173846BSNYHIKI3E0P,0.0,0.0
A0174242YS2V1DV6IUZP,0.0,0.0
A0174630DE3B15XLSCZV,0.0,0.0
A0177714YAJMI21GDT7U,0.0,0.0
A01821029CN62H06UXO,0.0,0.0
A0183084I3PXBFNPS6RA,0.0,0.0
A0183104KMY6KZLU8C70,0.0,0.0
A0185983KYLH1XHWVCDN,0.0,0.0
A0187688GB3BLJ9TQEHU,0.0,0.0
A0187830K7R5KPFK0TF7,0.0,0.0
A0187974O0XCNRRKARQE,0.0,0.0
A0188048DBJDGHGW7UI2,0.0,0.0
A0188542TMPAKJI1ETGC,0.0,0.0
A0190014RNT9SIFNSXDP,0.0,0.0
A01906206SCVL0F6YE35,0.0,0.0
A01910163UJ08PFOKPI6,0.0,0.0
A0192078GM0VO1NQ4L7M,0.0,0.0
A01928087HFT96G2SUPQ,0.0,0.0
A0195162PO4TYE44CR9T,0.0,0.0
A0196334HDFTEUFIC379,0.0,0.0
A0197433BECRUH44DY9N,0.0,0.0
A0198903VEVI640EC4CM,0.0,0.0
A0199161T217C9XKU2FX,0.0,0.0
A0200913U7A9M2X2LO2Y,0.0,0.0
A020135981U0UNEAE4JV,0.0,0.0
A0202019T588OXX5UM14,0.0,0.0
A020299183AN0FE5I3O6,0.0,0.0
A0204339RV9WUDR0VYUO,0.0,0.0
A0206141ZP6L9Q914MH8,0.0,0.0
A0209969JWSEAVJ97TQL,0.0,0.0
A0210671ENDNADTN5H52,0.0,0.0
A0210779P7XOBCS8H4C7,0.0,0.0
A0211463RJI7ZE4CD9KY,0.0,0.0
A0211481QNEUGK3MFL2V,0.0,0.0
A021165929QNR3CR3AN3,0.0,0.0
A0212563ZGCVC7570NMB,0.0,0.0
A0212613VWDEE6O1D1B0,0.0,0.0
A0212659FYF6DOO97USH,0.0,0.0
A0213135CPNQIW6PWU7C,0.0,0.0
A0216095Q8WNTSPILXTK,0.0,0.0
A0216115XFXIU7GPFQQ3,0.0,0.0
A021888337J3WWU0JJZW,0.0,0.0
A0220159ZRNBTRKLG08H,0.0,0.0
A022103965LACDOD23UM,0.0,0.0
A0221541A158DWWNF9CO,0.0,0.0
A0221881VJG1DV9M63H2,0.0,0.0
A022618115SEGPH7XOWM,0.0,0.0
A0229241KSIPAHJOTX7,0.0,0.0
A0229431MIL5F3M6IB6Q,0.0,0.0
A0231053UDFCC75M0RI3,0.0,0.0
A0232231SJYV3KY8MVPK,0.0,0.0
A0232309XTWAG6FEGW93,0.0,0.0
A0234185SJLJ8PAY2U7F,0.0,0.0
A0234579XC7QSZLCLCE6,0.0,0.0
A02347717UHKSVWY3T9H,0.0,0.0
A02360098LXUVHSC3V5,0.0,0.0
A0236453I8603MRMWZ3D,0.0,0.0
A02370851BCQ66B8NDMY,0.0,0.0
A0237553OGM5A7DHPIBY,0.0,0.0
A02379836NZ7H76TPQ9Z,0.0,0.0
A02391754UJBJZY1JOTT,0.0,0.0
A02400736H6ZGXKKLJ61,0.0,0.0
A024062949D8UXFDOW6T,0.0,0.0
A0242225YQPNV0ZDPBJK,0.0,0.0
A024244519V8COZQOHH9,0.0,0.0
A0247635IISXF2X7AQL4,0.0,0.0
A0248689U8C58E5QQQA5,0.0,0.0
A0248759OMG04C2L1B6D,0.0,0.0
A0249101Y1D9IY3Z47RU,0.0,0.0
A02492135ZP7IGKSGG6X,0.0,0.0
A02497172O8X2L1AHJKU,0.0,0.0
A0250032J3FQV2IA2PY7,0.0,0.0
A0250538ORISN75U6WML,0.0,0.0
A0250634ZVA1JL249ZFF,0.0,0.0
A0251490N3D4MGFPW9RO,0.0,0.0
A0251941BJJRT3GUVO5W,0.0,0.0
A02524259IK00HB8MA3K,0.0,0.0
A0253177YVZ641CPPL11,0.0,0.0
A0255513MSP905AU27YE,0.0,0.0
A0258353111ZFZIE1JEA,0.0,0.0
A02593432CUEEQRPNKF1,0.0,0.0
A0261335MGUP6K91KAAP,0.0,0.0
A0261793BI4GQIL8VHF0,0.0,0.0
A0262876TDA2EYEV3LVJ,0.0,0.0
A0263464FL9KRA573Y1B,0.0,0.0
A0263994QBSZJDIHLWE,0.0,0.0
A0264020562YYZ05Y2R5,0.0,0.0
A0265104CPVV4N6IQTG,0.0,0.0
A02661664JFMQB9Z6QQ9,0.0,0.0
A0267272XPQVSM9PPKUR,0.0,0.0
A0267358JNKI0CC7BKLJ,0.0,0.0
A0271578F62AOIF5USVP,0.0,0.0
A0272410MM15NFE69JF2,0.0,0.0
A0274078T6XZ8SMS9RW9,0.0,0.0
A027459054D4ZLMTKHMP,0.0,0.0
A0275782DY4RT0D8KADG,0.0,0.0
A0275834FROMFQSWD2ZU,0.0,0.0
A0277912HT4JSJKVSL3E,0.0,0.0
A0278498UCYE53KY5IRS,0.0,0.0
A0279278CCAGQCMGFLHQ,0.0,0.0
A0280304HKHOFA66VRZ2,0.0,0.0
A0280632EAC1KXEWPS2R,0.0,0.0
A0281946WLA9Z5JBPRKK,0.0,0.0
A0283642BURXFWRSJIJT,0.0,0.0
A0284876LSXSXC74ADV,0.0,0.0
A02854067DAGCAIM9ZU2,0.0,0.0
A0286020H4JLVT1ISSNS,0.0,0.0
A02868846GZ3RJHF51G,0.0,0.0
A0291670WXJEW0F5RY1M,0.0,0.0
A0292842XF6XMIB4F7L7,0.0,0.0
A029320825W2GETBK4JC,0.0,0.0
A0293382VV3VQQ607PY4,0.0,0.0
A0294332LFBCY4AWKLIG,0.0,0.0
A0294680HOWJPG38OJ6I,0.0,0.0
A0295514DCV18NE9ZI6R,0.0,0.0
A02965168IARMB36E6IR,0.0,0.0
A0297244750EW7S81VID,0.0,0.0
A0297640AZ7S0CKL5XZ8,0.0,0.0
A0297686MXTYTWJZ4PG7,0.0,0.0
A0298488DXET21G9YXIN,0.0,0.0
A03033388K5LWDWFS9R9,0.0,0.0
A0304462H1EHEA8XHFUB,0.0,0.0
A0305236DRZWHO4WPY58,0.0,0.0
A0307512NY2ZMH5M62AP,0.0,0.0
A03090326NZ3HHUGBV9J,0.0,0.0
A0309480YVM06MU0UXGE,0.0,0.0
A0310480XK771W4OT35,0.0,0.0
A0311256I3ACAD5H8AM,0.0,0.0
A0311290S9UG15AAPXTM,0.0,0.0
A0312670ZOT2DNUG5ZDI,0.0,0.0
A0315004JLO7T07N0Q2Y,0.0,0.0
A03157791DO1ORNQKN6J,0.0,0.0
A0315845RQ6LVRRNP0QL,0.0,0.0
A0316097QSX39ORRTG21,0.0,0.0
A0317029KRV36Z8JPG95,0.0,0.0
A0317030YDGFJ46POOK3,0.0,0.0
A0318890QDR1XYWX15NR,0.0,0.0
A0319264VRQ0B76QYPID,0.0,0.0
A0319718UHKRGORCUFTZ,0.0,0.0
A0321460ZDRBT7ORAKTJ,0.0,0.0
A0321726Q73O4A9I1PMM,0.0,0.0
A0322082XIUFCU2O02S3,0.0,0.0
A0322174KPHFYVAJWTR2,0.0,0.0
A0323662LGDA74F87HNI,0.0,0.0
A0325064Y79HJRDIJX0T,0.0,0.0
A0326396BNGJWO726PBR,0.0,0.0
A0326548JMOOG01Q65RU,0.0,0.0
A0327358DT74JOCYFK1A,0.0,0.0
A0327418ZPS36EOFRR9N,0.0,0.0
A03279253KKB83JP34CU,0.0,0.0
A032839136TLQEDY91GF,0.0,0.0
A0328935R4F1KHE9FFC3,0.0,0.0
A0328947HM7BJKX37CCQ,0.0,0.0
A032903147O439YA3R0D,0.0,0.0
A0329205XHUT7WGTLXC2,0.0,0.0
A0331487QH9BVBTYGNCV,0.0,0.0
A03333239C673I6CFPKH,0.0,0.0
A0333989MEW212GQDLWV,0.0,0.0
A0334333401NQB3M1G9E,0.0,0.0
A0335107DE7B1A75E88H,0.0,0.0
A0336627E45UCR0G3T6K,0.0,0.0
A033788716Y9GO6UEDU3,0.0,0.0
A0338345NOV60HAMYSX4,0.0,0.0
A0339987FLJYLB1XJGV1,0.0,0.0
A0340945GGKRI2CATK1E,0.0,0.0
A03418513IAUH3PEHJZT,0.0,0.0
A0343035JFPMOWKNXSHK,0.0,0.0
A0343241M6Q8B2UORS7,0.0,0.0
A0345029SW3JMKJLMHER,0.0,0.0
A0346243IIT5G9L6NJT9,0.0,0.0
A0346431PV98JX8MFDKG,0.0,0.0
A0346575XI7U49I6L5RY,0.0,0.0
A0349185TIYRESITPQQT,0.0,0.0
A0351483Y85UMJRVYA3D,0.0,0.0
A0351505SE8094H4NC6F,0.0,0.0
A0351533X23EPP6SMRN6,0.0,0.0
A0351641SUGPQ9JEM0TH,0.0,0.0
A0352953VULGY9UYWED,0.0,0.0
A0354085U7SKTQPATK86,0.0,0.0
A035508741QMZBX0H7GH,0.0,0.0
A0355765Z151MEHNQ5V6,0.0,0.0
A0355799P783RJMUN7IM,0.0,0.0
A0356005Z2IT07FN3BFX,0.0,0.0
A0358075SYJ9W13JC9RE,0.0,0.0
A0359555CIPD6WPH7GKP,0.0,0.0
A0360003G5FMK75U3FYG,0.0,0.0
A036147939NFPC389VLK,0.0,0.0
A0361879N36N30RC5FUE,0.0,0.0
A03622674FSWUX0PXPAK,0.0,0.0
A0362681O1EEVART7BVL,0.0,0.0
A0363159F5WNKABZDNYO,0.0,0.0
A036338182AXS29VLH4Q,0.0,0.0
A0364151ZSUH7C3Z1ZGR,0.0,0.0
A0367869IH6GA3EH3HVN,0.0,0.0
A0367959QUEZAZCGTJ4K,0.0,0.0
A0369123NBZ0HWHIIROX,0.0,0.0
A0369171M1V1WLBJ1G77,0.0,0.0
A0369367M6U3LSLAB3C1,0.0,0.0
A0370927RWQHHCT28SO6,0.0,0.0
A0372663ZDEP8IR92IMJ,0.0,0.0
A0373985M3GES7LNV2M3,0.0,0.0
A0376381J16ZZECT267F,0.0,0.0
A0378505R0KZPDGI1CJ8,0.0,0.0
A0380131QZBGLYDX8G5J,0.0,0.0
A0381998SJPQAHP6B7O9,0.0,0.0
A0382166N9KCX0VEH72W,0.0,0.0
A0382969BI4YDWM4WIYI,0.0,0.0
A0384137ARM14PDSAO96,0.0,0.0
A03852995MTEQNCNYZX5,0.0,0.0
A0386375E2D5K0Z5I5YG,0.0,0.0
A0389009NV7SHKIBL80J,0.0,0.0
A0390079FKMCIU0K4GKV,0.0,0.0
A0394278SYNCVB733N3F,0.0,0.0
A0395366K0F0YY14ANZW,0.0,0.0
A039557050BJ8MHPK545,0.0,0.0
A03962101SYL9IXBU9G7,0.0,0.0
A03963348AGHY9M1BVL2,0.0,0.0
A0397090A908HJHA114F,0.0,0.0
A0397776GGI6CRCP0QK9,0.0,0.0
A0398056VFRJLHH2ZEAN,0.0,0.0
A0398726YJHCAB46IW0A,0.0,0.0
A03989408GEXTV3MW9AT,0.0,0.0
A0399522PGVS88NKFJP8,0.0,0.0
A0401662T1NJ3WSLXX23,0.0,0.0
A0401820TTZWNV44VOWN,0.0,0.0
A0402564TCEO67AUZFJO,0.0,0.0
A0403142PTCZBLIH0GEF,0.0,0.0
A0404524QNLC24F4XCW8,0.0,0.0
A04051149NH0IDZZ4FH7,0.0,0.0
A040526066XM48POAOGW,0.0,0.0
A040834488VHCO6N9L7Y,0.0,0.0
A040921452KAM4LP0Y1U,0.0,0.0
A0409562UN99D1RYL1F7,0.0,0.0
A04105145IRGJVWMOP9D,0.0,0.0
A0410820HCANLJV5Z0H3,0.0,0.0
A041115497MSTEXNNAG2,0.0,0.0
A0411900PDJ45NHB2T2G,0.0,0.0
A04122366D4S0MPJ6WJD,0.0,0.0
A0413062BTKTITB67737,0.0,0.0
A04136462V965XXPDPY2,0.0,0.0
A0414096FRSYK54E1TEI,0.0,0.0
A04171625WI08EU738ZN,0.0,0.0
A0418828GPXBMUINJD6F,0.0,0.0
A04217404RGQASNRUNZN,0.0,0.0
A0422238PEHQJFE4GTGO,0.0,0.0
A0422696SUKOA5DSTS3J,0.0,0.0
A0423118PFK8KUT2G8BO,0.0,0.0
A0423932WZYAJ5EDNW19,0.0,0.0
A0425352K2X2XNRQ4VS3,0.0,0.0
A0425908ACBJKJU8528E,0.0,0.0
A0426656268Q1IA7CB8P,0.0,0.0
A0427540RTMB598443Z1,0.0,0.0
A04276762LAKWVH1ATRO,0.0,0.0
A0428274NUVLPPH91EUI,0.0,0.0
A0429134P2BZSLJ1W36M,0.0,0.0
A0429448FT6MHSF724JB,0.0,0.0
A0429542CXVYGHSHZW9Y,0.0,0.0
A0429746WST8WPTWBFJ,0.0,0.0
A0430052EVQ62LDQC90K,0.0,0.0
A0430402VQOFFO99RFV1,0.0,0.0
A0430516PUP5MFWYUDHX,0.0,0.0
A0431622H67YR5IPJRN,0.0,0.0
A0432510YRIX4CPKHM10,0.0,0.0
A0433260T0HISMNBBU9J,0.0,0.0
A0434322XP16YDQ8TQLE,0.0,0.0
A0435978N2I4V8BKP4FS,0.0,0.0
A0436242VOJIUF7X1DLJ,0.0,0.0
A0436270XG2E3RS5T61O,0.0,0.0
A0436386LPCQ794G16TK,0.0,0.0
A043656019VIUYGQQ1CX,0.0,0.0
A043673053EDQZJMEGKC,0.0,0.0
A043763289DP06BEESCG,0.0,0.0
A0439672AZP9XM48MK5T,0.0,0.0
A04422766Z6Z833ZWY1N,0.0,0.0
A0443852T8YAMV9QP98C,0.0,0.0
A0446250J23LKBPCU7ZW,0.0,0.0
A044714932EDM0IRNYPZ,0.0,0.0
A0447155D5C5DO9AUGHN,0.0,0.0
A04474875NWKD8FNYNCM,0.0,0.0
A0447919S7KPRWYLCYOF,0.0,0.0
A0448682PAPHRAI4N86O,0.0,0.0
A0449300US32X6BRTAX8,0.0,0.0
A0449430SYPUN2IJZAXE,0.0,0.0
A0449580B8IJDBWRSBHA,0.0,0.0
A0451022W1TJDQKY076U,0.0,0.0
A0451892FQK2V7WCS4CP,0.0,0.0
A04523768P2CY6ANDYGM,0.0,0.0
A04532901XEFNC0QBO82,0.0,0.0
A0453738TPU0U580HHN,0.0,0.0
A04538605420LDZKDKYN,0.0,0.0
A0455374D4OQJ3XCOGGT,0.0,0.0
A0455800CP8DO5VVZD4D,0.0,0.0
A0456170PAJG9E6R9ZBH,0.0,0.0
A0456192PS4R0X43SGW9,0.0,0.0
A04570542NG7XFKWHHAI,0.0,0.0
A045843875DNT09IE0WP,0.0,0.0
A0458801MJAQUI0OA0U4,0.0,0.0
A0460265JF94Z81TZ7U0,0.0,0.0
A0461035APMGMHP76OUE,0.0,0.0
A046172374IU4HYYO650,0.0,0.0
A0462197I12AYAU9HM7R,0.0,0.0
A0462901CU0JY8IG51EI,0.0,0.0
A0463283RH3FXQPFQZGB,0.0,0.0
A0464351OZXPUPKGI6HO,0.0,0.0
A0464543CX5ZY3JWY5IB,0.0,0.0
A0466741HFH9CLAGI09Y,0.0,0.0
A0467257CG0DBBJ6H6BZ,0.0,0.0
A0468093I0GM6TYOX92P,0.0,0.0
A0468959DPP972X4L7HK,0.0,0.0
A0469021FS00OP51WBMO,0.0,0.0
A0469225E0SA9QLOPRU8,0.0,0.0
A0469585PH5NOACECQBE,0.0,0.0
A0473455WB8G3571PLSE,0.0,0.0
A0474495RBARMQUQCC1F,0.0,0.0
A0477781IQKJVM20PVBG,0.0,0.0
A047816347FS2EFQ6VEY,0.0,0.0
A0478843EX5EPR2FQF09,0.0,0.0
A0479521BE137WEERTOD,0.0,0.0
A0479865UUG2MVWNZCWJ,0.0,0.0
A04815378QLX9JN5V1SE,0.0,0.0
A0483379ME7F92EJ6O54,0.0,0.0
A0483863LU0PW1JZ5G2,0.0,0.0
A0485131LYJOHBT141XY,0.0,0.0
A0485169QUPHIA3S8IH5,0.0,0.0
A0485365XY1IZ3RKGBNY,0.0,0.0
A04862374PRFU1IEFVZB,0.0,0.0
A0487527R505F521WWYU,0.0,0.0
A0487785G2YXBEQ63XXG,0.0,0.0
A0488085LI4HAYIP4V73,0.0,0.0
A0488385844WNV2OWO9X,0.0,0.0
A0489317JB18NS583W0G,0.0,0.0
A04903313X9F09VES8AM,0.0,0.0
A0490453AYGB1BAAOG64,0.0,0.0
A04909857J5DOE7BYM30,0.0,0.0
A04910218412MP65AO3V,0.0,0.0
A049248150WLX2UGA57G,0.0,0.0
A0492785IJQFUQ4Z2SHK,0.0,0.0
A0493339GZA3OP6F8XBA,0.0,0.0
A04936915RY06SOCXC89,0.0,0.0
A0494685CWS76FYAF2CG,0.0,0.0
A0495565JU8ME73M36NG,0.0,0.0
A0496521CMYQ04FLPSQC,0.0,0.0
A04967735HZDZLBXEG4P,0.0,0.0
A04969818R9XUBF9EXQR,0.0,0.0
A0500453KLC3B5PPUJF7,0.0,0.0
A05012776MTIS8L40R3I,0.0,0.0
A0501481M8MAO691NT54,0.0,0.0
A050161154FL2AZ25W7S,0.0,0.0
A0503847II4H8K4PC8SD,0.0,0.0
A05043134E1PINKDBAMU,0.0,0.0
A0504513NC4QEYPYDH2,0.0,0.0
A0504527SDH3H8CQFU4P,0.0,0.0
A05046017OPCB8R21MV6,0.0,0.0
A0504817SX6QTZBFIBQJ,-0.6063614,-0.0027745473
A05054453GDC8KQ8QXSE,0.0,0.0
A0506181DW35TE2BR0YQ,0.0,0.0
A0506289YUQZHOPQSWJG,0.0,0.0
A0507161YW9AE22ASOYK,0.0,0.0
A0507339HFCQEQO05CX5,0.0,0.0
A0507603KBVQZHWE1MVG,0.0,0.0
A0508397ADL1YO83M0RU,0.0,0.0
A0508601ACUBH370UUV5,0.0,0.0
A0508779FEO1DUNOSQNX,0.0,0.0
A0509283SIV3F5OZPBWT,0.0,0.0
A0509289J0DISS258G4L,0.0,0.0
A05093255U6KOOZJCG1R,0.0,0.0
A0512120Q1FRCU2FCHHZ,0.0,0.0
A0512272U3KSB6OHHUHE,0.0,0.0
A0513419WHOZNDGN6E2Z,0.0,0.0
A0514215AGLQO9J7G4WC,0.0,0.0
A05158499EFO3ISIJIZA,0.0,0.0
A0516185UHAIHCLV974D,0.0,0.0
A0516533I4GQXC66AEKN,0.0,0.0
A0519947IRTRVX21A9KX,0.0,0.0
A0520777KS1MS8VNWF28,0.0,0.0
A05212816IT3V9UJUMWW,0.0,0.0
A0522017B05XGJ0RDB1A,0.0,0.0
A05234078A0EFVNDZ3F2,0.0,0.0
A05250025IC70XEHF0CB,0.0,0.0
A05253683C3CP6QO15DU,0.0,0.0
A0526512ZYHLOOAN1SI9,0.0,0.0
A052673850Z3KT3XBW3S,0.0,0.0
A05270967G3DU4T806HA,0.0,0.0
A0527392CI5J9RXC8HK5,0.0,0.0
A0528228GP24U7G7BJHG,0.0,0.0
A0529646AJA7K5M7HAB8,0.0,0.0
A0530634K9SSJMECNYRH,0.0,0.0
A05308081UG71LSV3EE3,0.0,0.0
A0535158T0NMLWVAXF2S,0.0,0.0
A0540960MTMPP7Z08G4L,0.0,0.0
A0542118XCBK3QP5JXHL,0.0,0.0
A0542620VGNPEVMLA0NF,0.0,0.0
A05428808WZGIMJ4G8SK,0.0,0.0
A0543112A7VURSG2D4S,0.0,0.0
A0544140TGBMH4L6NA1A,0.0,0.0
A0545856POH6EIGIDU3J,0.0,0.0
A0546426S87DUEDZEVX,0.0,0.0
A05467882E05R82HOCOI,0.0,0.0
A0548294K6LL5VYBZQJF,0.0,0.0
